"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Date/Time: Posted date/time of the transaction"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with start date of 1 Jan 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total","Transaction Status","Transaction Release Date"
"1 May 2026 4:03:02 am UTC","27002087452","Reimbursements","406-5035226-8436369","CF-I7RO-NHA3","Reimbursement issued for lost or damaged package","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","0","106.92","106.92","Released","1 May 2026 4:03:02 am UTC"
"1 May 2026 6:37:19 am UTC","27002087452","Transfer","","","To account ending with: 543","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-16,616.68","-16,616.68","Released","1 May 2026 6:37:19 am UTC"
"1 May 2026 6:37:58 am UTC","27002933812","Transfer","","","To account ending with: 543","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-15,200.68","-15,200.68","Released","1 May 2026 6:37:58 am UTC"
"1 May 2026 1:35:17 pm UTC","27002933812","Refund","404-3060825-6868360","8W-EPNF-IT9Y","QUIK-CHECK Plus Hb Hemoglobin Testing System Meter with 60 Strips | Accurate Digital Hemoglobin Monitor | Easy & Fast Testing Device","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","KOLKATA","WEST BENGAL","700032","-4,829.00","0","0","0","0","0","0","0","0","302.46","0","0","0","-4,526.54","Released","7 May 2026 5:41:12 am UTC"
"1 May 2026 1:40:18 pm UTC","27002087452","Shipping Services","171-3568775-7377129","","Amazon Easy Ship Weight Handling Fee Reversal","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","60.18","0","60.18","Released","3 May 2026 8:12:40 am UTC"
"1 May 2026 1:54:55 pm UTC","27002087452","Refund","171-3568775-7377129","33-MN8L-TMXN","Diamond Obese Cuff Assembly Set for Blood Pressure Monitor | Original Replacement BP Cuff for Large Arm Size | Durable, Comfortable & Accurate Fit","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","SRINIVASPUR","KARNATAKA","563135","-808.57","0","0","0","-40.43","0","0","4.04","0","0","0","53.10","0","-791.86","Released","3 May 2026 7:55:30 am UTC"
"1 May 2026 9:16:35 pm UTC","27002933812","Service Fee","","","Cost of Advertising","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","-1,588.93","-286.01","-1,874.94","Released","1 May 2026 9:16:35 pm UTC"
"2 May 2026 8:18:07 am UTC","27084781812","Order","408-1100118-4113143","XG-NG2E-YVR1","VATS Hemostatic Artery Forceps - Premium Stainless Steel Hemostatic Clamps for Surgical, Dental & Veterinary Use","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","BENGALURU","KARNATAKA","560036","329.00","0","0","0","0","0","0","0","0","0","0","-25.96","0","303.04","Released","20 May 2026 2:59:29 pm UTC"
"2 May 2026 8:18:54 am UTC","27045331432","Order","403-5015380-6749911","W7-U7R8-TSNV","VATS Beauty Chocolate Body Wax Powder - India's First Barium Sulphide Free Hair Removal Powder | Herbal, Painless & Non-Sticky | Safe for Arms, Legs &","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","VASAI VIRAR","MAHARASHTRA","401303","145.00","0","0","-5.80","0","0","0","0","0","0","0","-1.18","0","138.02","Released","13 May 2026 5:32:34 am UTC"
"2 May 2026 8:18:56 am UTC","27084781812","Order","171-4648266-1082764","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","KATIHAR","BIHAR","854109","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","15 May 2026 3:09:55 pm UTC"
